"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"RYSAS","TRANSPORTATION AND STORAGE",11149078133,1393220862,19655022730,4238246022,9823741656,9831281074,-4827279431,2e+09,558315087,5436103737,9672018788,1069593463,14279656971,4553752575,8033035463,6246621508,-3852600427,2e+09,-64276489,5333098848,3124236244,249164129,6778596018,2340550092,5622676228,1155919790,-479025474,1956952216,-71608412,1796957494,1022284724,-57678957,3388459635,1066139409,2222006388,1166453247,-326888293,1956952216,-457183712,693769982
"SAFKR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",1315889395,60474857,1191548782,324980084,425076457,766472325,-19972155,35250000,382356787,948402810,1057982415,114055712,797354501,157608808,310580327,486774174,-30949078,35250000,284962406,714911463,583130302,57523690,677925930,155741370,247322546,430603384,-53256618,35250000,176597493,401350297,152673187,14657195,197650781,51176688,61420036,136230745,-59859,35250000,60132681,109306807
"SAHOL","HOLDING AND INVESTMENT COMPANIES",359971043000,-15474560000,3073678933000,NA,2600368067000,473310866000,10252011000,2100375969,NA,NA,459159364000,22273810000,3165265998000,NA,2609182632000,556083366000,-40213421000,2040403931,NA,NA,321420638000,39421491000,2129225298000,NA,1728619189000,400606109000,50459875000,2040403931,NA,NA,59891353000,12032098000,819763789000,NA,716159607000,103604182000,-55445579000,2040403931,NA,NA
"SAMAT","PAPER AND PAPER PRODUCTS PRINTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292934093,5857255,470149361,110684898,155618955,314530406,4856830,36600000,-25195999,290580425,687397552,14991417,NA,NA,NA,NA,-38958375,NA,NA,625471531,70899383,-3561775,125549012,91443647,95862473,29686539,-387424,36600000,-5843229,57519254
"SANEL","CONSTRUCTION AND PUBLIC WORKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96865876,-22771968,118054789,102561151,107819244,10235545,-1500873,18255333,-43437575,74950845,64120256,-16408850,88487720,52768388,54230854,34256866,-1636290,18255333,-17599026,63205430,23071737,-3900043,39444901,29183319,30697546,8747355,-454608,18255333,-6590656,19392227
"SANFM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",864387316,47204522,928050670,307534089,467760825,460289845,289768809,1.5e+08,361984158,760185266,1019700364,63397896,1040855652,521382397,621600604,419255048,-65964378,1.5e+08,20315751,817837832,610786816,56718311,646138457,289418109,391059502,255078955,-26745262,1.5e+08,77910284,487305800,144492036,30814364,196913704,100209600,136403802,60509902,-5707004,149999998,9351198,112119942
"SANKO","WHOLESALE AND RETAIL TRADE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6344595742,430609650,2524180014,878903933,1003581603,1520598411,-340851,1.5e+08,328469063,6174460914,6923262700,-309238895,2633547356,1038704142,1143305452,1490241904,-2184549,149999997,477293281,6749716821,1790925795,128021738,948601895,311996767,340862951,607738944,-527221,149999997,390815946,1738775972
"SARKY","BASIC METAL",59231562048,350753049,20010996631,9580987674,10977298011,9033698620,-356596757,6e+08,4484487394,56087533708,65406579707,2096688288,23719214841,12115579412,14255592713,9463622128,-694165666,6e+08,5396477972,62271204369,53253039961,922945401,15747043942,8897637191,10369897628,5377146314,-478569574,6e+08,3249635214,51847717563,13863404122,553222655,5740844859,3447313010,4299615102,1441229757,-43210378,599999985,1529706704,12984362428
"SASA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",48582547000,18279278000,232312083000,49556847000,111433686000,120878397000,-29822241000,43815615361,-23162073000,39955356000,66871472000,26265621000,218127298000,50839418000,124094671000,94032627000,-39476757000,42573230352,-9282799000,54302798000,61835185000,22753905000,99974177000,43448694000,59448367000,40525810000,-18579412000,42179196803,-19209661000,48872599000,14644953000,697435000,22194163000,9151729000,18031536000,4162627000,-2473166000,41738831706,-167723000,10942436000
"SAYAS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",1677191443,19544065,1382569697,435472870,558157192,824412505,-34313765,77250000,621384061,1370241595,1317628970,174038635,1157319555,276835730,353943480,803376075,-261521981,77250000,715765968,980273561,1211832570,145315553,711423315,227156565,264014913,447408402,-6248241,77250000,421319570,848538377,347937197,66443579,199617823,82609709,98196959,101420864,-8573652,77250000,101298209,264694774
"SDTTR","TECHNOLOGY",1833671204,9920203,2878822369,939948467,1034619804,1844202565,-152660820,5.8e+07,1436661249,1404191920,1646420445,465441880,3194493572,1057708215,1207685449,1986808123,-37679894,5.8e+07,1808966624,958759238,913600638,113232273,1164481905,311875857,384200078,780281827,-13730794,5e+07,713718123,542839885,442975323,114530541,376279551,130998796,166337017,209942534,-5658614,5e+07,194899987,260579521
"SEGMN","FOOD, BEVERAGE AND TOBACCO",1849787755,174218019,3655825740,309667944,481197525,3174628215,-758023001,1.79e+08,1467642651,1461588011,2083486009,19465900,2660819964,293706478,599441353,2061378611,-25741100,1.79e+08,790955163,1332607966,1480644113,5785740,1270988881,219901459,288760807,982228074,-1103400,1.79e+08,636032417,1038320899,1180141814,16583199,1290019290,181873306,251869835,1038149455,33284,1.79e+08,670885318,953099673
"SEGYO","REAL ESTATE INVESTMENT TRUSTS",477203096,-349705270,6990147446,402781489,1067013119,5923134327,400572818,813555283,-22231247,405398264,205395026,842930895,7855358673,793160857,1327999611,6527359062,-13302175,813555283,241887199,12384344,195271339,1290305367,4789886653,273997574,902677987,3887208666,68920177,813555283,373976484,32849129,53020072,125468531,1603391131,324153167,795946889,807444242,13358578,802298108,146441696,16131000
"SEKFK","FINANCIAL LEASING AND FACTORING COMPANIES",1094215000,160907000,3218571000,1659286000,2519416000,699155000,-626526000,1e+08,-935255000,690387000,539775000,191429000,2317372000,1398710000,1803827000,513545000,-143468000,1e+08,-245638000,338759000,366474000,102350000,1517528000,777367000,1235714000,281814000,-187129000,1e+08,-44939000,184913000,114067000,47893000,1082415000,539427000,912983000,169432000,-91387000,1e+08,59018000,112350000
"SEKUR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",1161925531,-16600783,1269092297,677876884,839068518,430023779,-17605787,53611826,-85595051,1013757088,657918575,-22054261,974686320,470236915,688487578,286198742,-5786344,44410947,-80917661,565976615,587272782,15731978,752372022,336916636,553369234,199002788,-24468520,44410947,29552285,504810322,302297308,-7347672,505079979,250148478,352688326,152391653,-40291995,44410947,-20280432,239242129
"SELEC","WHOLESALE AND RETAIL TRADE",128619629846,2058724847,69396308343,45030826302,45901233892,23495074451,3620281435,6.21e+08,14872722342,115605170715,141085577426,322272876,64653517558,41460095920,42907236152,21746281406,1199241441,6.21e+08,13569960984,127854801529,85196585566,635697825,40169194796,24470806485,24969932656,15199262140,19325634,6.21e+08,9362762027,76316898166,26214644330,922713075,12707988164,8178814945,8341414509,4366573655,35860632,6.21e+08,3496881181,24043363743
"SELGD","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39064558,15882339,98184972,7837285,15412289,82772683,-5301390,2.2e+07,20281711,37201174,43046093,10594705,66446010,5267778,9485201,56960809,-8507,2.2e+07,24434208,41565274
"SELVA","FOOD, BEVERAGE AND TOBACCO",1390303000,34445000,2964930000,862859000,1159874000,1805056000,-358174000,4.68e+08,-370741000,1169553000,1992885000,250802000,2654982000,762288000,889240000,1765742000,-153836000,4.68e+08,-220817000,1722979000,1198801811,-77667416,1589796240,430020312,520944787,1068851453,-45767083,4.68e+08,-45527060,1003018428,287143047,-10851292,574721342,219340033,351519562,223201780,8769868,435500000,-3557348,229875331
"SEYKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",229495562,-34572513,435842318,23884169,27549809,408292509,33897888,2e+08,274057325,184508227,283055667,-73781014,408697353,38446266,73714701,334982652,8400338,138645418,233135431,198200410,212941078,51052532,384533165,60495484,102595967,281937198,-5086403,138645413,248879282,115181569,60194381,24338154,94704352,15154794,22465622,72238730,-5138511,105874414,61387521,37735865
"SILVR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",1970547433,46693762,2225558430,586325856,810149006,1415409424,-82962998,4.5e+07,-56011148,1775929455,2857259038,-36537442,1695785445,997459712,1113956265,581829180,-102329154,4.5e+07,-211628559,2856008540,3226542447,154219994,1577601851,1001006777,1136208817,441393034,-154711248,4.5e+07,-58952349,3170361991,977447499,-8041575,467121534,406773242,425096931,42024603,-36031554,4.5e+07,-55468277,887619992
"SISE","HOLDING AND INVESTMENT COMPANIES",185589224000,5022436000,399027533000,79571708000,190917120000,208110413000,-18830691000,3063214056,54636609000,143564346000,219447449000,24788520000,420638287000,96332368000,179913319000,240724968000,-29758228000,3063214056,66610978000,159076738000,170655164000,22738790000,288985246000,58609480000,115534878000,173450368000,-11003997000,3063214000,65388824000,116072653000,32057875000,9040197000,92260701000,19197635000,39331476000,52929225000,-6297810000,3063214000,16889108000,20877579000
"SKBNK","BANKS",12028498000,2898328000,129773230000,NA,111594240000,18178990000,-1161016000,2.5e+09,NA,NA,9539831000,2970587000,90741896000,NA,78009271000,12732625000,4713827000,2322052156,NA,NA,6574932000,1845562000,68981436000,NA,62143955000,6837481000,-2108910000,2322052156,NA,NA,2644621000,414715000,54045003000,NA,50678875000,3366128000,762911000,2322052156,NA,NA
"SKTAS","TEXTILE, WEARING APPAREL AND LEATHER",1790024961,-464359447,3159197990,926862268,1489576083,1669621907,576099975,2.22e+08,-145047835,1468926445,1928925784,-15509178,4853450982,1567831028,2486805387,2366645595,-120343739,2.22e+08,-399807220,1375059965,1567355054,-1141049510,3595186632,1475598554,2100948019,1494238613,233232018,194218427,-495663217,1567179416,391935090,3912176,1345901520,547353832,854970950,490930570,-27373677,194218427,-236599014,160222890
"SKYLP","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",166681547,-15677045,275955468,55119692,58398898,217556570,-19513394,9500000,59345008,53093504,151226853,54706919,173615831,20169602,23567851,150047980,-18871348,9500000,75772340,53760169,76728390,19818977,153407619,31541676,34867972,118539647,-6844219,9500000,40551088,33972987,29298852,3650048,39759045,18444153,20459179,19299866,350307,9500000,-489805,15071349
"SKYMD","BROKERAGE HOUSES",41237815295,-53252592,2012501520,1051297178,1064311729,948189791,-46835730,1.55e+08,593917826,40411771200,57330726082,90224710,2902133085,1758517446,1773793498,1128339587,89775736,1.55e+08,730619430,56531797057,55078025475,-13248316,2534513554,2046341194,2100335041,434178513,50489638,1.55e+08,277141930,54742240922,25711284826,18710802,528590146,412132717,422047209,106542937,-49392511,1.55e+08,55925267,25581857676
"SMART","TECHNOLOGY",202740860,12316347,447580306,96290230,101350830,346229476,-141668778,31862500,-12264541,36639645,241993605,64937446,434907510,96135157,101902218,333005292,-104979882,31862500,35519271,46880587,107208274,-45125540,247709030,52877900,61433404,186275626,-48830461,31862500,11320117,21329294,36364651,3813732,93292733,19466132,24387921,68904812,-23912267,31862500,7356260,15718849
"SMRTG","ELECTRICITY GAS AND WATER",11677588216,441128517,17462319741,11270982832,13948367012,3513952729,-2705594289,605880000,-623414391,9403198138,11684945071,1476970648,15232958707,9233794679,12160060152,3072898555,-2158896800,605880000,1052436319,9017857159,3973288754,88716585,4294263789,2667816199,2862115352,1432148437,-298849807,605880000,973603665,3366948871,846114782,80008598,818331763,579082290,617720201,200611562,-17103460,605880000,133574561,711568123
"SMRVA","ASSET MANAGEMENT COMPANIES",1616762000,542748000,3620823000,1459616000,1911403000,1709420000,-139503000,1.18e+08,1479098000,448135000,1057643000,497321000,1540030000,498511000,748799000,791231000,-16885000,1.18e+08,757754000,164746000,354465000,188139000,511673000,27956000,191666000,320007000,-42922000,1.18e+08,-18932000,50161000,191810000,90379000,300913000,6265000,161345000,139568000,-9534000,1.18e+08,51000,32475000
"SNGYO","REAL ESTATE INVESTMENT TRUSTS",13366704258,5233125499,61523014358,3389849154,16708298441,44814715917,-950219366,4e+09,9181477453,9028298435,2456346351,1687802096,58331339254,2490719974,17841515373,40489823881,574920078,3999999899,9340571205,1201935899,2371257663,5959761961,36973926451,2541796742,12179278326,24794648125,1186437399,3999999899,4768572913,1802909197,2123439547,3200065874,11323329074,1140741726,6426869952,4896459122,352203287,3999999816,2571110476,1108580326
"SNICA","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",2513786215,-575513684,4680726768,1908781702,2007580987,2673145781,-110139324,6e+08,1318160200,1923016570,3198155396,526514159,5133322792,1335447631,1690370313,3442952479,-532675609,599999994,2310141116,2124100067,2546091185,196617382,4015616701,1574203584,1860129065,2155487636,-187774577,599999994,1639298999,1796988072,713027375,79538985,968526927,547912146,642173886,326353041,-12188864,599999994,168579555,479958042
"SNKRN","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27276860,6508726,95372849,31082616,41078013,54294836,NA,7849206,56957864,20989443,126852108,38205615,97424352,34055075,48984244,48440108,NA,7849206,47475184,72988188
"SNPAM","TEXTILE, WEARING APPAREL AND LEATHER",786222783,87240169,6578062390,132172681,753411584,5824650806,-245396027,1.3e+08,197274956,713691469,758636786,160879172,6433007646,159728680,689469289,5743538357,-462486221,1.3e+08,189432519,700164233,653341072,-93484469,6154644456,129052753,759327786,5395316670,-19006057,1.3e+08,369294134,547292124,166068714,85671330,286369495,22387939,52382058,233987437,-6725637,1.3e+08,54506333,111362726
"SODSN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",230604683,-198367,223637119,34657751,155045633,68591486,NA,1.5e+07,124368288,183556131,300423841,61984990,163991294,28038463,45286518,118704776,9654178,1.5e+07,80441213,206808787,250994381,25247104,165934014,33134605,60296723,105637291,-17090217,1.5e+07,81782929,189054318,62171080,22238124,64738907,12041587,20109509,44629398,-2926571,1.5e+07,36543872,40358635
"SOKE","FOOD, BEVERAGE AND TOBACCO",5465010948,-252090434,5006726132,1033498761,1609609650,3397116482,-283351573,386500000,873206325,4850036852,7572040406,-141174479,4681924837,1016607906,1254483796,3427441041,-781257788,386500000,960688484,6506664212,4732992940,308047101,2512602706,761295526,889102311,1623500395,-160077574,386500000,596299199,4034267590,773165273,12860043,412764059,230349462,249886461,162877598,-1557115,386500000,20717562,683051144
"SOKM","WHOLESALE AND RETAIL TRADE",202173763632,61243347,75541444083,37560572467,46716844464,28824599619,-3765977543,593290008,-4796927861,165218617526,193155221661,6135447873,76983520651,35473527226,48019872534,28963648117,-2552059937,593290008,1225329365,155158908476,112384820331,6954039535,68569339895,33683108198,44747501399,23821838496,-3087928097,593290008,-4427751197,89633316182,28411812112,324323116,9734829839,7065781281,9238940001,495889838,-661144291,611928571,-2696026300,21767673133
"SONME","REAL ESTATE ACTIVITIES",46378665,206959092,4000494102,21859281,463144270,3537349832,-100592272,7.4e+07,35743914,NA,45798337,174226140,3861341923,27265443,532359936,3328981987,-213409034,7.4e+07,-9726880,NA,29328393,-18153113,3648834490,16160551,473222742,3175611748,-12851513,7.4e+07,964518,NA,9547390,29156238,287587551,1540482,19561041,268026510,20262392,7.4e+07,-363625,NA
"SRVGY","REAL ESTATE INVESTMENT TRUSTS",1276213623,1986100502,33332068638,2107039935,8582613337,24749455301,-48982388,3.25e+09,-1530926929,457434119,1423395375,7234614203,19117158926,1437810204,3811152659,15306006267,-80708647,3.25e+09,-828144139,421585994,1578186763,4708719670,17028887066,1460251231,4005993577,13022893489,-51661963,3.25e+09,-1072447098,571763733,414235386,672356730,5242516560,1171691821,2249050954,2993465606,-1437123312,3.25e+09,-442112019,231044991
"SUMAS","WOOD PRODUCTS INCLUDING FURNITURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226886166,53647451,175318809,40723585,45360342,129958467,-10027442,6224400,94900624,166443612,130301035,44563842,115652994,23077187,27595793,88057201,-14944259,6224400,68156584,72763308
"SUNTK","TEXTILE, WEARING APPAREL AND LEATHER",12247347590,893743319,9289630908,3064684906,3874170944,5415459964,-627156056,474600000,1773300439,9702387659,11164588239,341560625,5657786895,1901147071,2360783378,3297003517,-540171548,474600000,1198571593,8790323082,7574904395,599493843,4770883786,1536086293,1915967624,2854916162,-40057050,474600000,1465509594,6040558685,2226130217,208867490,1823997242,1053165392,1302535856,521461386,-58780566,474600000,286871987,1721342822
"SURGY","REAL ESTATE INVESTMENT TRUSTS",NA,328758596,9960295291,129842952,3788326334,6171968957,837486613,167500000,2238325126,NA,NA,1312528055,8334949253,67963716,1344515179,6990434074,32331412,167500000,2283744371,NA,NA,NA,3305331325,48139733,500686332,2804644993,NA,167500000,274094693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUWEN","WHOLESALE AND RETAIL TRADE",4358112817,232318377,2635598496,1014334800,1378354609,1257243887,-34008321,559999999,613210188,2036418498,3614571774,276576953,2114643626,595715318,917717443,1196926183,-159671294,5.6e+08,565252333,1741111901,1757058244,224228568,1343814870,510395915,655895246,687919624,-65364271,5.6e+08,337811030,828701373,359858381,42923821,263759020,145185643,205105398,58653622,-17763969,5.6e+08,3798198,144835431
"TABGD","HOTELS AND RESTAURANTS",32009061817,1911667376,24355971105,4762498678,8513068403,15842902702,-955966364,261292000,4077317589,26478652353,28858468239,3548525027,21857951942,4516638061,7882235285,13975716657,510746267,261292000,3760625939,23957130083,16612128527,1853475399,11264005913,4582751630,8028119395,3235886518,-1557818962,261292000,-3204687959,14982437476,3834030729,-130490984,2743598064,1531472858,2871250989,-127652925,-253065968,261292000,-1108716699,3219098651
"TARKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711233305,350511132,1022705630,400545790,521860047,500845583,-65227864,2.1e+07,282843230,367937351,251901471,27123687,452433883,342640860,352508631,99925252,-6815551,2.1e+07,44490224,172817359
"TATEN","ELECTRICITY GAS AND WATER",1964164878,1490823427,11625628201,926021211,5088551187,6537077014,-1817464160,280500000,-541721826,910160278,1352064479,591864456,8818888986,703339518,4133898389,4684990597,-194428713,280500000,579455984,601260633,1240175432,581871961,5143342528,403502186,2518973666,2624368862,-570158906,280500000,-713999,616727221,300239441,190808927,3131304780,461112509,2157894902,973409878,-719025587,280500000,-132894144,98050046
"TATGD","FOOD, BEVERAGE AND TOBACCO",6332759473,-405367487,7699039045,3846901507,4612069056,3086969989,-370745330,236605858,1334032781,5670431716,8304211377,-124518654,9539944897,4641068748,6136985414,3402959483,-427994405,236605857,2470165124,7778944644,5248584498,-149356740,8206506284,5119653436,5603133545,2603372739,-383748252,236605857,1656558153,4779533703,1091763568,223190334,1637839590,553236289,752629113,885210477,26899447,236605857,796579583,772830339
"TAVHL","HOLDING AND INVESTMENT COMPANIES",1.66e+09,182994000,4863099000,808578000,3240244000,1622855000,-166189000,363281250,42518000,1132197000,1309687000,249149000,4753098000,888221000,3326658000,1426440000,-32660000,363281250,143451000,884133000,1051358000,122201000,4277733000,731227000,3053075000,1224658000,-525841000,363281250,21105000,685328000,522064000,44721000,3444729000,487363000,2434076000,1010653000,-445467000,363281250,-40122000,360528000
"TBORG","FOOD, BEVERAGE AND TOBACCO",30148500000,3955003000,29217086000,10985112000,11672193000,17544893000,-279705000,322508253,6556103000,14428678000,24751075000,1489175000,27843858000,12584949000,13027336000,14816522000,-3612704000,322508253,4026476000,14755346000,15141710000,1026436000,16877752000,7263937000,7602466000,9275286000,-2003838000,322508253,2530012000,9373018000,3674862000,1204233000,4769900000,1730746000,1843331000,2926569000,-346596000,322508253,1498305000,1796760000
"TCELL","INFORMATION AND COMMUNICATION",166671364000,23523425000,344275619000,90833998000,157309089000,186966530000,-37100137000,2.2e+09,22858638000,125542614000,154653031000,18125305000,356735869000,83346570000,180254672000,176481197000,-30183515000,2.2e+09,64708415000,121881722000,134975159000,9933888000,234989180000,48476004000,125611241000,109377939000,-45785494000,2.2e+09,28836580000,117929921000,108599644000,7135436000,151297963000,28263842000,85932779000,65365184000,-29009628000,2.2e+09,20302013000,86138067000
"TCKRC","BASIC METAL",1650820266,430976243,3800873092,499501702,753551960,3047321132,-234402132,1.7e+08,1803310139,965739747,1454295116,211036757,2460520212,629518890,1040740432,1419779780,-129978112,1.7e+08,466860815,876862331,862005772,68507386,1207576056,437317978,521977530,685598526,-32810383,1.7e+08,225931872,647384112,481489454,112991957,968818595,292835021,368282116,600536479,-15037499,1.7e+08,140138690,383939155
"TDGYO","REAL ESTATE INVESTMENT TRUSTS",61136727,-6378466,303461858,1829974,14246515,289215343,1085564,6.9e+07,293408195,27761199,129438254,-118058975,340223112,44366901,44629074,295594038,-6673717,6.9e+07,286266021,103943127,150282694,-34183005,361103081,91827864,92707967,268395114,-1494018,6.9e+07,265372435,63928078,40577579,27736308,104297707,23705428,25878018,78419689,4402,6.9e+07,80226543,27918025
"TEKTU","HOTELS AND RESTAURANTS",92358344,-392724227,6188298601,473490588,1539889500,4648409101,249004,299932427,-372121564,47401462,124843440,46700795,4722671028,331875362,1113135905,3609535123,19195328,3e+08,-219352315,79659808,87118565,188904146,5121018569,357238003,1572177032,3548841537,947013176,3e+08,283701408,62086666,22566041,-95193999,1970826259,225415894,796416857,1174409402,-809480,3e+08,-127425245,12227443
"TERA","BROKERAGE HOUSES",6237810822,406240110,7934805916,6581121522,6586237788,1348568128,-30068163,157500000,1176097526,5568508079,6342578707,374630888,3706537204,2824605971,2830208205,876328999,4557568,157500000,739918180,5344677003,2591549942,-5654218,1847982273,1298586529,1303827337,544154936,-26523506,157500000,457668704,2391622425,1443817682,32710401,323767140,230034026,231773575,91993565,-10486381,112500000,77367103,1395665278
"TEZOL","PAPER AND PAPER PRODUCTS PRINTING",5037483865,145708252,5858738551,932851376,1292887551,4565851000,-257040778,5e+08,1814960637,4293139010,5266550776,37850548,6004465696,1056859895,1500090286,4504375410,-494674135,499999984,1778376221,4186883492,4247537627,681425270,4192576194,739567063,1124891805,3067684389,-353804704,499999984,1582660526,3480080046,878150067,255050648,1250805170,333891080,556190892,694614278,-45143742,499999984,635054100,628864556
"TGSAS","WHOLESALE AND RETAIL TRADE",218687017,89311457,20767360265,20531330599,20540851811,226508454,-5198995,1.5e+07,185552748,NA,176683660,34087832,8486329514,8294266648,8305524620,180804894,-1585885,1.5e+07,148019931,20524264,102475901,7493899,6835196685,6671585887,6688137013,147059672,1362799,1.5e+07,133576896,33952169,26877263,13519616,2963886376,2895632403,2896907650,66978726,-2559758,1.5e+07,61812304,332769
"THYAO","TRANSPORTATION AND STORAGE",2.2669e+10,3.425e+09,3.9674e+10,9.606e+09,2.036e+10,1.9314e+10,3.87e+08,1379944589,8.7e+07,1.8347e+10,2.0942e+10,6.021e+09,3.5632e+10,9.048e+09,2.0069e+10,1.5563e+10,-5.708e+09,1.38e+09,-4.92e+08,1.606e+10,16648244055.8992,2537558584.97229,30954854794.8723,8241487790.78477,21248100669.8483,9706754125.02408,-1431720418.60167,1.38e+09,-1013600273.93156,12601279774.0065,7321378895.53024,617495582.872824,26593586707.2666,6799969925.94263,19778053456.637,6815533250.62968,-348107214.014511,1.38e+09,-1853013044.62238,5656403894.59043
"TKFEN","HOLDING AND INVESTMENT COMPANIES",58189882000,404091000,65873800000,27135315000,34992445000,30881355000,-2468966000,3.7e+08,2093348000,52212045000,62279333000,-1608609000,76156764000,39617631000,44347431000,31809333000,-129988000,3.7e+08,-43729000,60504947000,54992324000,1388942000,61650713000,30138030000,36319854000,25330859000,-1544822000,3.7e+08,6903470000,52197285000,16222968000,839228000,21913573000,13073283000,14188113000,7725460000,-136551000,3.7e+08,2334054000,14942903000
"TKNSA","WHOLESALE AND RETAIL TRADE",69435947000,-1419871000,18176035000,15343926000,15901505000,2274530000,-432968000,2.01e+08,-740095000,60522872000,68322440000,1079236000,14690228000,11544511000,12122954000,2567274000,-409906000,2.01e+08,882279000,61039215000,32712046000,522865000,6297548000,5204062000,5536329000,761219000,-235478000,2.01e+08,234500000,29863787000,7520079000,131464000,3001096000,2626956000,2758114000,242982000,-56026000,2.01e+08,-3422000,6253253000
"TLMAN","TRANSPORTATION AND STORAGE",591561573,117219455,1551617555,115770594,274976119,1276641436,-614469553,2.1e+07,374196075,440153055,637850883,230053773,1491209816,142890961,326301259,1164908557,12373617,2.1e+07,608879944,368052342,413251744,212732934,833786626,106260425,181683750,652102876,102718538,2.1e+07,257470922,191704954,93308590,61642899,188134639,30967107,48590527,139544112,12003361,2.1e+07,115768014,41938212
"TMPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",828757817,35616101,1827959309,702511680,1145773001,682186308,-79908561,14175000,117094715,664514371,1095172802,27465093,1889371769,776896827,1217108557,672263212,-41313874,14175000,393754470,871842811,650315978,32599684,1103701054,412309783,660216952,443484102,-138226741,14175000,260183900,637632841,245708307,24948307,231930465,137059732,165962594,65967871,-589225,14175000,45866887,200428295
"TMSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",6981498747,-456035229,12452540607,4974772063,5900331296,6552209311,-127299834,1.15e+08,2360777168,5560148457,11528224121,971022339,12281596543,4245846548,5268251841,7013344702,-443234473,1.15e+08,2935473100,8602671446,6946528473,387206712,7339809938,2620542490,3147717688,4192092250,-364664460,1.15e+08,1283096309,5746973047,1122673736,50570441,2024289651,844806745,1020283752,1004005899,-25263500,1.15e+08,302965463,841803649
"TNZTP","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES",2188116276,1259823795,6990039237,597981096,1511990965,5478048272,1973983680,1.28e+08,176796764,1395605767,1895911637,1187830242,6420517250,789132272,1934673577,4485843673,-1634129964,1.28e+08,266362304,1372583959,1074787034,266132456,2227548054,228597300,441080772,1786467282,-275294587,1.28e+08,278280039,825076419,309559506,65843490,726704908,106230711,152266826,574438082,-700229,1.28e+08,120113420,228987659
"TOASO","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",129120699000,5221439000,91659980000,26515983000,44558368000,47101612000,-6714997000,5e+08,36200149000,115945728000,187615672000,21777284000,113578876000,51349926000,60332584000,53246292000,-3838352000,5e+08,36004909000,154621879000,126962149000,9374039000,73799094000,43006761000,47950026000,25849068000,-1493233000,5e+08,12191473000,111804681000,30327901000,3281316000,23473341000,13757789000,17729950000,5743391000,-760779000,5e+08,2411759000,24684546000
