"stock","mainsector"
"HDFGS","FINANCIAL INSTITUTIONS"
"HEDEF","FINANCIAL INSTITUTIONS"
"HUBVC","FINANCIAL INSTITUTIONS"
"ICBCT","FINANCIAL INSTITUTIONS"
"ICUGS","FINANCIAL INSTITUTIONS"
"IDGYO","FINANCIAL INSTITUTIONS"
"IHLAS","FINANCIAL INSTITUTIONS"
"IHYAY","FINANCIAL INSTITUTIONS"
"INFO","FINANCIAL INSTITUTIONS"
"INVEO","FINANCIAL INSTITUTIONS"
"INVES","FINANCIAL INSTITUTIONS"
"ISBIR","FINANCIAL INSTITUTIONS"
"ISFIN","FINANCIAL INSTITUTIONS"
"ISGYO","FINANCIAL INSTITUTIONS"
"ISGSY","FINANCIAL INSTITUTIONS"
"IEYHO","FINANCIAL INSTITUTIONS"
"ISMEN","FINANCIAL INSTITUTIONS"
"ISYAT","FINANCIAL INSTITUTIONS"
"KTLEV","FINANCIAL INSTITUTIONS"
"KERVN","FINANCIAL INSTITUTIONS"
"KLGYO","FINANCIAL INSTITUTIONS"
"KLRHO","FINANCIAL INSTITUTIONS"
"KZBGY","FINANCIAL INSTITUTIONS"
"KCHOL","FINANCIAL INSTITUTIONS"
"KGYO","FINANCIAL INSTITUTIONS"
"KRGYO","FINANCIAL INSTITUTIONS"
"KZGYO","FINANCIAL INSTITUTIONS"
"LIDFA","FINANCIAL INSTITUTIONS"
"LRSHO","FINANCIAL INSTITUTIONS"
"LYDHO","FINANCIAL INSTITUTIONS"
"MARKA","FINANCIAL INSTITUTIONS"
"MRGYO","FINANCIAL INSTITUTIONS"
"MZHLD","FINANCIAL INSTITUTIONS"
"METUR","FINANCIAL INSTITUTIONS"
"METRO","FINANCIAL INSTITUTIONS"
"MTRYO","FINANCIAL INSTITUTIONS"
"MHRGY","FINANCIAL INSTITUTIONS"
"MSGYO","FINANCIAL INSTITUTIONS"
"MMCAS","FINANCIAL INSTITUTIONS"
"NTHOL","FINANCIAL INSTITUTIONS"
"NUGYO","FINANCIAL INSTITUTIONS"
"OSMEN","FINANCIAL INSTITUTIONS"
"OSTIM","FINANCIAL INSTITUTIONS"
"OTTO","FINANCIAL INSTITUTIONS"
"OYYAT","FINANCIAL INSTITUTIONS"
"OYAYO","FINANCIAL INSTITUTIONS"
"OZKGY","FINANCIAL INSTITUTIONS"
"OZGYO","FINANCIAL INSTITUTIONS"
"PAGYO","FINANCIAL INSTITUTIONS"
"PRDGS","FINANCIAL INSTITUTIONS"
"PSGYO","FINANCIAL INSTITUTIONS"
"PEKGY","FINANCIAL INSTITUTIONS"
"PEHOL","FINANCIAL INSTITUTIONS"
"POLHO","FINANCIAL INSTITUTIONS"
"QNBTR","FINANCIAL INSTITUTIONS"
"QNBFK","FINANCIAL INSTITUTIONS"
"RALYH","FINANCIAL INSTITUTIONS"
"RAYSG","FINANCIAL INSTITUTIONS"
"RYGYO","FINANCIAL INSTITUTIONS"
"SKBNK","FINANCIAL INSTITUTIONS"
"SEKFK","FINANCIAL INSTITUTIONS"
"SEGYO","FINANCIAL INSTITUTIONS"
"SKYMD","FINANCIAL INSTITUTIONS"
"SRVGY","FINANCIAL INSTITUTIONS"
"SNGYO","FINANCIAL INSTITUTIONS"
"SMRVA","FINANCIAL INSTITUTIONS"
"SURGY","FINANCIAL INSTITUTIONS"
"TAVHL","FINANCIAL INSTITUTIONS"
"TKFEN","FINANCIAL INSTITUTIONS"
"TERA","FINANCIAL INSTITUTIONS"
"TRGYO","FINANCIAL INSTITUTIONS"
"TDGYO","FINANCIAL INSTITUTIONS"
"TSGYO","FINANCIAL INSTITUTIONS"
"TRCAS","FINANCIAL INSTITUTIONS"
"GARAN","FINANCIAL INSTITUTIONS"
"HALKB","FINANCIAL INSTITUTIONS"
"ISCTR","FINANCIAL INSTITUTIONS"
"KLNMA","FINANCIAL INSTITUTIONS"
"TURSG","FINANCIAL INSTITUTIONS"
"TSKB","FINANCIAL INSTITUTIONS"
"SISE","FINANCIAL INSTITUTIONS"
"VAKBN","FINANCIAL INSTITUTIONS"
"UFUK","FINANCIAL INSTITUTIONS"
"ULUFA","FINANCIAL INSTITUTIONS"
"UMPAS","FINANCIAL INSTITUTIONS"
"UNLU","FINANCIAL INSTITUTIONS"
"VAKFN","FINANCIAL INSTITUTIONS"
