"stock","subsector"
"GLBMD","BROKERAGE HOUSES"
"INFO","BROKERAGE HOUSES"
"ISMEN","BROKERAGE HOUSES"
"OSMEN","BROKERAGE HOUSES"
"OYYAT","BROKERAGE HOUSES"
"SKYMD","BROKERAGE HOUSES"
"TERA","BROKERAGE HOUSES"
"ADGYO","REAL ESTATE INVESTMENT TRUSTS"
"AHSGY","REAL ESTATE INVESTMENT TRUSTS"
"AKFGY","REAL ESTATE INVESTMENT TRUSTS"
"AKSGY","REAL ESTATE INVESTMENT TRUSTS"
"AKMGY","REAL ESTATE INVESTMENT TRUSTS"
"ALGYO","REAL ESTATE INVESTMENT TRUSTS"
"ASGYO","REAL ESTATE INVESTMENT TRUSTS"
"ATAGY","REAL ESTATE INVESTMENT TRUSTS"
"AGYO","REAL ESTATE INVESTMENT TRUSTS"
"AVGYO","REAL ESTATE INVESTMENT TRUSTS"
"AVPGY","REAL ESTATE INVESTMENT TRUSTS"
"BASGZ","REAL ESTATE INVESTMENT TRUSTS"
"BEGYO","REAL ESTATE INVESTMENT TRUSTS"
"DZGYO","REAL ESTATE INVESTMENT TRUSTS"
"DGGYO","REAL ESTATE INVESTMENT TRUSTS"
